week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data,is_imputed,weekly_log_return,n_trading_days,flag_short_week,flag_extreme,weekly_log_return_raw,d_simple_mean_stance,d_weekly_log_return,is_post_break
2015-11-30,157,ABNB,-0.25737,2.0,2.0,True,False,-0.0173663688056553,4.0,False,False,-0.0173663688056553,,,False
2015-12-07,157,ABNB,0.4598109999999999,2.0,2.0,True,False,-0.022389920977293,5.0,False,False,-0.022389920977293,0.7171809999999998,-0.0050235521716377,False
2015-12-14,157,ABNB,-0.787355,2.0,2.0,True,False,-0.0022415768983563,5.0,False,False,-0.0022415768983563,-1.247166,0.0201483440789367,False
2015-12-21,157,ABNB,-0.82829,0.0,,False,True,0.0496209616357172,4.0,False,False,0.0496209616357172,-0.0409349999999999,0.0518625385340735,False
2015-12-28,157,ABNB,-0.869225,0.0,,False,True,-0.0051306743283894,4.0,False,False,-0.0051306743283894,-0.040935,-0.0547516359641066,False
2016-01-04,157,ABNB,-0.91016,0.0,,False,True,-0.0801432037605911,5.0,False,False,-0.0801432037605911,-0.0409349999999999,-0.0750125294322017,False
2016-01-11,157,ABNB,-0.951095,1.0,1.0,True,False,-0.0391060285732098,5.0,False,False,-0.0391060285732098,-0.040935,0.0410371751873813,False
2016-01-18,157,ABNB,0.30342025,3.0,2.0,True,False,0.0231728077196082,4.0,False,False,0.0231728077196082,1.25451525,0.0622788362928179,False
2016-01-25,157,ABNB,0.30342025,0.0,,False,True,-0.0087262645213694,5.0,False,False,-0.0087262645213694,0.0,-0.0318990722409776,False
2016-02-01,157,ABNB,-0.634736,2.0,2.0,True,False,-0.0437040295762694,5.0,False,False,-0.0437040295762694,-0.93815625,-0.0349777650548999,False
2016-02-08,157,ABNB,-0.185109,2.0,1.0,True,False,0.0049820441070802,5.0,False,False,0.0049820441070802,0.449627,0.0486860736833495,False
2016-02-15,157,ABNB,-0.3861778333333333,5.0,2.0,True,False,0.0331283460469298,4.0,False,False,0.0331283460469298,-0.2010688333333332,0.0281463019398496,False
2016-02-22,157,ABNB,-0.61872375,3.0,2.0,True,False,0.0039982237243476,5.0,False,False,0.0039982237243476,-0.2325459166666667,-0.0291301223225822,False
2016-02-29,157,ABNB,-0.61872375,0.0,,False,True,0.0455041430972911,5.0,False,False,0.0455041430972911,0.0,0.0415059193729435,False
2016-03-07,157,ABNB,-0.928159,1.0,1.0,True,False,-0.0028005969278854,5.0,False,False,-0.0028005969278854,-0.3094352499999999,-0.0483047400251765,False
2016-03-14,157,ABNB,0.2363927499999999,3.0,2.0,True,False,0.0241767405023201,5.0,False,False,0.0241767405023201,1.1645517499999998,0.0269773374302055,False
2016-03-21,157,ABNB,-0.002871,1.0,1.0,True,False,-0.0190908414106201,4.0,False,False,-0.0190908414106201,-0.2392637499999999,-0.0432675819129402,False
