week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data,is_imputed
2015-01-05,157,ABNB,-0.152405,6.0,6.0,True,False
2015-01-12,157,ABNB,-0.1014664166666666,7.0,4.0,True,False
2015-01-19,157,ABNB,-0.0711755833333333,25.0,6.0,True,False
2015-01-26,157,ABNB,0.1139524583333333,10.0,6.0,True,False
2015-02-02,157,ABNB,-0.169292375,9.0,4.0,True,False
2015-02-09,157,ABNB,-0.1011390833333333,13.0,6.0,True,False
2015-02-16,157,ABNB,-0.3920299583333333,9.0,6.0,True,False
2015-02-23,157,ABNB,0.3215347777777778,17.0,6.0,True,False
2015-03-02,157,ABNB,-0.15351325,11.0,6.0,True,False
2015-03-09,157,ABNB,-0.1220138999999999,9.0,5.0,True,False
2015-03-16,157,ABNB,-0.0422358111111111,17.0,6.0,True,False
2015-03-23,157,ABNB,-0.097115,13.0,6.0,True,False
2015-03-30,157,ABNB,0.1634651196428571,48.0,7.0,True,False
2015-04-06,157,ABNB,-0.0689617555555555,18.0,6.0,True,False
2015-04-13,157,ABNB,0.0187145999999999,9.0,5.0,True,False
2015-04-20,157,ABNB,0.1040264277777777,16.0,6.0,True,False
2015-04-27,157,ABNB,-0.1059761084656084,18.0,3.0,True,False
2015-05-04,157,ABNB,-0.28430755,14.0,6.0,True,False
2015-05-11,157,ABNB,-0.2179262666666666,29.0,7.0,True,False
2015-05-18,157,ABNB,0.0371854333333333,14.0,5.0,True,False
2015-05-25,157,ABNB,-0.0588767066666666,14.0,5.0,True,False
2015-06-01,157,ABNB,0.0207332765151515,25.0,5.0,True,False
2015-06-08,157,ABNB,-0.17827825,14.0,5.0,True,False
2015-06-15,157,ABNB,-0.0228051944444444,20.0,6.0,True,False
2015-06-22,157,ABNB,0.1062566632653061,26.0,7.0,True,False
2015-06-29,157,ABNB,-0.1351745833333333,24.0,7.0,True,False
2015-07-06,157,ABNB,-0.1076825952380952,23.0,7.0,True,False
2015-07-13,157,ABNB,-0.2071112379629629,33.0,6.0,True,False
2015-07-20,157,ABNB,0.0768642357142857,27.0,7.0,True,False
2015-07-27,157,ABNB,0.2238343928571428,14.0,4.0,True,False
2015-08-03,157,ABNB,0.0968448333333333,17.0,5.0,True,False
2015-08-10,157,ABNB,-0.4053411825396825,19.0,6.0,True,False
2015-08-17,157,ABNB,-0.0503745833333333,27.0,6.0,True,False
2015-08-24,157,ABNB,0.1090273536833537,32.0,6.0,True,False
2015-08-31,157,ABNB,0.0408158714285714,18.0,7.0,True,False
2015-09-07,157,ABNB,0.13864415,11.0,5.0,True,False
2015-09-14,157,ABNB,-0.0416584083333333,18.0,6.0,True,False
2015-09-21,157,ABNB,0.1379861,9.0,5.0,True,False
2015-09-28,157,ABNB,-0.3076782583333333,20.0,6.0,True,False
2015-10-05,157,ABNB,0.0522805666666666,16.0,6.0,True,False
2015-10-12,157,ABNB,-0.1465987761904762,17.0,7.0,True,False
2015-10-19,157,ABNB,-0.3160613402777777,33.0,6.0,True,False
2015-10-26,157,ABNB,-0.1712350833333333,24.0,7.0,True,False
2015-11-02,157,ABNB,0.0257241600842934,103.0,7.0,True,False
2015-11-09,157,ABNB,0.0844454109126984,58.0,7.0,True,False
2015-11-16,157,ABNB,0.008133525,20.0,5.0,True,False
2015-11-23,157,ABNB,-0.0014138333333333,5.0,3.0,True,False
2015-11-30,157,ABNB,-0.0957901666666666,16.0,5.0,True,False
2015-12-07,157,ABNB,-0.1766539644688644,39.0,7.0,True,False
2015-12-14,157,ABNB,-0.3509993309523809,20.0,7.0,True,False
2015-12-21,157,ABNB,-0.3706051999999999,6.0,5.0,True,False
2015-12-28,157,ABNB,0.316426375,5.0,4.0,True,False
2016-01-04,157,ABNB,-0.3437044861111111,22.0,6.0,True,False
2016-01-11,157,ABNB,-0.1964564444444444,15.0,6.0,True,False
2016-01-18,157,ABNB,-0.0685462018518518,33.0,6.0,True,False
2016-01-25,157,ABNB,-0.0024147231481481,33.0,6.0,True,False
2016-02-01,157,ABNB,-0.4429902268398268,36.0,7.0,True,False
2016-02-08,157,ABNB,-0.1687984365079365,51.0,7.0,True,False
2016-02-15,157,ABNB,-0.1569122861111111,30.0,6.0,True,False
2016-02-22,157,ABNB,-0.2278475999999999,15.0,5.0,True,False
2016-02-29,157,ABNB,-0.0367012341269841,33.0,6.0,True,False
2016-03-07,157,ABNB,-0.0108420999999999,14.0,5.0,True,False
2016-03-14,157,ABNB,-0.0156985803571428,46.0,6.0,True,False
2016-03-21,157,ABNB,-0.0698445416666666,11.0,4.0,True,False
2016-03-28,157,ABNB,-0.0741768257275132,37.0,6.0,True,False
2016-04-04,157,ABNB,0.0677149777777777,24.0,6.0,True,False
2016-04-11,157,ABNB,0.0342779523809523,21.0,5.0,True,False
2016-04-18,157,ABNB,-0.0466479047619047,41.0,7.0,True,False
2016-04-25,157,ABNB,-0.3432614693877551,26.0,7.0,True,False
2016-05-02,157,ABNB,0.0955713333333333,43.0,6.0,True,False
2016-05-09,157,ABNB,-0.2487930916666666,20.0,6.0,True,False
2016-05-16,157,ABNB,-0.1120163155122655,43.0,6.0,True,False
2016-05-23,157,ABNB,-0.1592182238095238,18.0,7.0,True,False
2016-05-30,157,ABNB,-0.1358117781151596,57.0,6.0,True,False
2016-06-06,157,ABNB,-0.234281633981759,71.0,6.0,True,False
2016-06-13,157,ABNB,-0.1290370792517007,43.0,7.0,True,False
2016-06-20,157,ABNB,-0.2201295912530047,67.0,7.0,True,False
2016-06-27,157,ABNB,-0.2699397171568627,58.0,6.0,True,False
2016-07-04,157,ABNB,-0.1413688656462585,28.0,7.0,True,False
2016-07-11,157,ABNB,-0.1251638104136604,50.0,6.0,True,False
2016-07-18,157,ABNB,-0.0492493134920634,56.0,6.0,True,False
2016-07-25,157,ABNB,-0.0461055595238095,32.0,6.0,True,False
2016-08-01,157,ABNB,0.0599539447619047,31.0,5.0,True,False
2016-08-08,157,ABNB,0.0190006071428571,41.0,7.0,True,False
2016-08-15,157,ABNB,0.0036449709183673,37.0,7.0,True,False
2016-08-22,157,ABNB,0.1586319904761905,27.0,7.0,True,False
2016-08-29,157,ABNB,0.1064648285714285,24.0,7.0,True,False
2016-09-05,157,ABNB,-0.081250017249757,80.0,7.0,True,False
2016-09-12,157,ABNB,0.0271788785714285,27.0,7.0,True,False
2016-09-19,157,ABNB,0.1081565238095238,40.0,6.0,True,False
2016-09-26,157,ABNB,-0.279186419047619,32.0,7.0,True,False
2016-10-03,157,ABNB,0.0356999508333333,37.0,5.0,True,False
2016-10-10,157,ABNB,0.1263239433333333,16.0,5.0,True,False
2016-10-17,157,ABNB,-0.0328754629148629,47.0,7.0,True,False
2016-10-24,157,ABNB,-0.2423824333333333,34.0,7.0,True,False
2016-10-31,157,ABNB,-0.27148705,22.0,5.0,True,False
2016-11-07,157,ABNB,-0.192821625,9.0,4.0,True,False
2016-11-14,157,ABNB,0.1082592751831501,48.0,7.0,True,False
2016-11-21,157,ABNB,-0.0078646836734693,26.0,7.0,True,False
2016-11-28,157,ABNB,-0.2428111712962962,31.0,6.0,True,False
2016-12-05,157,ABNB,-0.1298216746031746,23.0,6.0,True,False
2016-12-12,157,ABNB,0.171815775510204,24.0,7.0,True,False
2016-12-19,157,ABNB,0.0599486129629629,24.0,6.0,True,False
2016-12-26,157,ABNB,-0.2558476944444444,9.0,6.0,True,False
2017-01-02,157,ABNB,0.1025374222222222,12.0,6.0,True,False
2017-01-09,157,ABNB,0.2018104523809523,25.0,7.0,True,False
2017-01-16,157,ABNB,-0.2973561666666667,14.0,5.0,True,False
2017-01-23,157,ABNB,0.1060983285034013,54.0,7.0,True,False
2017-01-30,157,ABNB,-0.0714143965367965,40.0,7.0,True,False
2017-02-06,157,ABNB,-0.0577263404761904,49.0,7.0,True,False
2017-02-13,157,ABNB,-0.0988021642857142,28.0,7.0,True,False
2017-02-20,157,ABNB,-0.0274320555555555,15.0,6.0,True,False
2017-02-27,157,ABNB,0.1362688015873016,19.0,6.0,True,False
2017-03-06,157,ABNB,0.090281341852105,66.0,6.0,True,False
2017-03-13,157,ABNB,0.1869778726190476,37.0,7.0,True,False
2017-03-20,157,ABNB,-0.0131527104341736,70.0,6.0,True,False
2017-03-27,157,ABNB,-0.0137839944444444,18.0,6.0,True,False
2017-04-03,157,ABNB,-0.2758455517006802,45.0,7.0,True,False
2017-04-10,157,ABNB,-0.1534038541666667,26.0,6.0,True,False
2017-04-17,157,ABNB,-0.1884865105442177,36.0,7.0,True,False
2017-04-24,157,ABNB,0.0075548174603174,29.0,7.0,True,False
2017-05-01,157,ABNB,0.0014079938885675,48.0,7.0,True,False
2017-05-08,157,ABNB,-0.046154619047619,19.0,7.0,True,False
2017-05-15,157,ABNB,-0.0802506666666666,19.0,6.0,True,False
2017-05-22,157,ABNB,-0.0062867285714285,23.0,7.0,True,False
2017-05-29,157,ABNB,-0.0023417916666666,29.0,6.0,True,False
2017-06-05,157,ABNB,0.2650654376984127,31.0,6.0,True,False
2017-06-12,157,ABNB,0.2916450771164021,34.0,6.0,True,False
2017-06-19,157,ABNB,0.0657450095238095,37.0,7.0,True,False
2017-06-26,157,ABNB,0.1215741833333333,24.0,6.0,True,False
2017-07-03,157,ABNB,-0.2160982476190476,17.0,5.0,True,False
2017-07-10,157,ABNB,-0.4931913570899471,65.0,6.0,True,False
2017-07-17,157,ABNB,0.0608192244897959,23.0,7.0,True,False
2017-07-24,157,ABNB,0.1708778231292516,39.0,7.0,True,False
2017-07-31,157,ABNB,-0.1856969904761904,26.0,6.0,True,False
2017-08-07,157,ABNB,-0.110688169217687,106.0,7.0,True,False
2017-08-14,157,ABNB,0.2406209325396825,40.0,7.0,True,False
2017-08-21,157,ABNB,0.3292012138888889,25.0,6.0,True,False
