week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data
2015-01-12,157,ABNB,-0.281105,1.0,1.0,True
2015-01-19,157,ABNB,-0.1696229999999999,2.0,2.0,True
2015-01-26,157,ABNB,0.2542895,2.0,2.0,True
2015-02-02,157,ABNB,-0.755128,1.0,1.0,True
2015-02-09,157,ABNB,0.204482,1.0,1.0,True
2015-02-16,157,ABNB,-0.687995,2.0,2.0,True
2015-02-23,157,ABNB,0.5884016666666666,3.0,3.0,True
2015-03-02,157,ABNB,0.407104,1.0,1.0,True
2015-03-16,157,ABNB,-0.520145,1.0,1.0,True
2015-03-23,157,ABNB,0.514055,3.0,3.0,True
2015-03-30,157,ABNB,0.2529895,2.0,2.0,True
2015-04-06,157,ABNB,0.40444875,4.0,2.0,True
2015-04-27,157,ABNB,0.640029,1.0,1.0,True
2015-05-11,157,ABNB,-0.1204035,2.0,2.0,True
2015-05-18,157,ABNB,0.473228,1.0,1.0,True
2015-05-25,157,ABNB,0.198728,2.0,1.0,True
2015-06-01,157,ABNB,0.2892375,2.0,2.0,True
2015-06-08,157,ABNB,0.052728,1.0,1.0,True
2015-06-15,157,ABNB,0.1320648541666666,9.0,4.0,True
2015-06-22,157,ABNB,0.4289920833333333,6.0,3.0,True
2015-06-29,157,ABNB,0.22827,3.0,3.0,True
2015-07-13,157,ABNB,-0.370183,3.0,2.0,True
2015-07-20,157,ABNB,0.4031078333333333,4.0,3.0,True
2015-08-10,157,ABNB,-0.766779,1.0,1.0,True
2015-08-17,157,ABNB,0.41904075,4.0,2.0,True
2015-08-24,157,ABNB,0.3324114999999999,8.0,2.0,True
2015-09-07,157,ABNB,-0.096556,3.0,3.0,True
2015-09-28,157,ABNB,-0.0925032999999999,8.0,4.0,True
2015-10-05,157,ABNB,-0.521645,1.0,1.0,True
2015-10-12,157,ABNB,0.1189024999999999,2.0,2.0,True
2015-10-19,157,ABNB,0.277891,1.0,1.0,True
2015-10-26,157,ABNB,0.111657,2.0,2.0,True
2015-11-02,157,ABNB,-0.2219840189393939,30.0,4.0,True
2015-11-09,157,ABNB,0.8617528055555556,11.0,3.0,True
2015-11-16,157,ABNB,-0.130443,4.0,3.0,True
2015-11-23,157,ABNB,0.638459,1.0,1.0,True
2015-11-30,157,ABNB,-0.25737,2.0,2.0,True
2015-12-07,157,ABNB,0.4598109999999999,2.0,2.0,True
2015-12-14,157,ABNB,-0.787355,2.0,2.0,True
