company_id,symbol,date,daily_return,sp500_return,vix,post
111,SBUX,2015-12-01,0.02694471158679601,0.01068057336863748,14.6700000762939,0
111,SBUX,2015-12-02,-0.005504749792224151,-0.010995693172566212,15.9099998474121,0
111,SBUX,2015-12-03,0.0036378157299086222,-0.014373526666262015,18.1100006103516,0
111,SBUX,2015-12-04,0.015936608782306516,0.0205256690573854,14.8100004196167,0
111,SBUX,2015-12-07,0.0014918007140602985,-0.006989502964787397,15.8400001525879,0
111,SBUX,2015-12-08,0.0011900845618437739,-0.0064899016523778386,17.6000003814697,0
111,SBUX,2015-12-09,-0.006886536577358826,-0.007738985017979982,19.6100006103516,0
111,SBUX,2015-12-10,0.00888786678571929,0.0022513871531610885,19.3400001525879,0
111,SBUX,2015-12-11,-0.01620349461605708,-0.019422767297482935,24.3899993896484,0
111,SBUX,2015-12-14,0.00976403141164961,0.004755560017433602,22.7299995422363,0
111,SBUX,2015-12-15,0.019917037151811146,0.010618561082731848,20.9500007629395,0
111,SBUX,2015-12-16,0.006481862338470812,0.014514969430300617,17.8600006103516,0
111,SBUX,2015-12-17,-0.013938223008751138,-0.015040520909943678,18.9400005340576,0
111,SBUX,2015-12-18,-0.021366355627167155,-0.01779722000676387,20.7000007629395,0
111,SBUX,2015-12-21,-0.007746995249774735,0.0077784025360287945,18.7000007629395,0
111,SBUX,2015-12-22,0.001395257096493241,0.008816736053143037,16.6000003814697,0
111,SBUX,2015-12-23,0.0012212572232050967,0.01241806830075265,15.5699996948242,0
111,SBUX,2015-12-24,-0.004675565932383052,-0.001598636221499028,15.7399997711182,0
111,SBUX,2015-12-28,-8.647251753568508e-05,-0.00217855994238203,16.9099998474121,0
111,SBUX,2015-12-29,0.02312731898198961,0.010629762908764828,16.0799999237061,0
111,SBUX,2015-12-30,-0.010165837594374394,-0.007217228595965963,17.2900009155273,0
111,SBUX,2015-12-31,-0.01102274121165614,-0.00941191309542666,18.2099990844727,0
111,SBUX,2016-01-04,-0.023200777396440664,-0.015303731089594375,20.7000007629395,0
111,SBUX,2016-01-05,-0.02784738081774074,0.0020122259542274534,19.3400001525879,0
111,SBUX,2016-01-06,-0.011547033487890879,-0.013115396702646942,20.5900001525879,0
111,SBUX,2016-01-07,-0.024667751440183405,-0.023700443014411654,24.9899997711182,0
111,SBUX,2016-01-08,-0.025899764940189085,-0.010838374390218508,27.0100002288818,0
111,SBUX,2016-01-11,-0.0005979375402281883,0.0008532721255336551,24.2999992370605,0
111,SBUX,2016-01-12,0.0111240420872607,0.00780279851675636,22.4699993133545,0
111,SBUX,2016-01-13,-0.04353649964117878,-0.02496545230421965,25.2199993133545,0
111,SBUX,2016-01-14,0.0204566987836996,0.016695905386662213,23.9500007629395,0
111,SBUX,2016-01-15,-0.030890556215960263,-0.021599098001850003,27.0200004577637,0
111,SBUX,2016-01-19,0.007140604247374727,0.0005318215543925753,26.0499992370605,0
111,SBUX,2016-01-20,-0.012032800395149534,-0.011693855152413501,27.5900001525879,0
111,SBUX,2016-01-21,0.007222479249535896,0.005195438361131455,26.6900005340576,0
111,SBUX,2016-01-22,0.026599050934470236,0.020283701024494727,22.3400001525879,0
