variable,coef,se_hc1,t_stat,p_value_hc1,ci95_low_hc1,ci95_high_hc1,month_label,se_day_cluster,t_stat_day_cluster,p_value_day_cluster,ci95_low_day_cluster,ci95_high_day_cluster
event_m24,0.04826263833037916,0.017913125889447462,2.6942611037423934,0.0070544877488012275,0.013152911587062131,0.08337236507369619,m24,0.01805474608405035,2.67312750374344,0.007514768197251096,0.012875336005640475,0.08364994065511784
event_m23,0.02183997465863899,0.017943628988681317,1.2171436821623682,0.22354955322484585,-0.01332953815917639,0.05700948747645437,m23,0.016028022891746343,1.3626118958118982,0.17300485775706,-0.009574950209183843,0.05325489952646182
event_m22,0.007669099719639805,0.017048049330534564,0.4498520370834315,0.652817133369126,-0.025745076968207943,0.04108327640748755,m22,0.016259361796018033,0.4716728624316602,0.637160310198128,-0.02419924940055554,0.03953744883983515
event_m21,0.009442403921687534,0.01909358430925729,0.494532811061017,0.6209299399969231,-0.027981021324456755,0.04686582916783182,m21,0.02029145092017581,0.4653390217798049,0.641688694565191,-0.03032883988185705,0.04921364772523212
event_m20,0.050220336721685764,0.017347844980220427,2.8949034752700245,0.003792751391609299,0.016218560560453725,0.08422211288291781,m20,0.01601593047179431,3.13564902208641,0.0017147428457073533,0.01882911299696892,0.08161156044640261
event_m19,0.033672869223755245,0.018834594184369783,1.7878202680734827,0.07380500979807439,-0.0032429353776095293,0.07058867382512002,m19,0.018309586315406294,1.839084108384348,0.06590281603477678,-0.0022139199544410904,0.06955965840195158
event_m18,0.02715636884624882,0.017214059462991548,1.5775691320593037,0.11466462845519641,-0.0065831877012146114,0.060895925393712254,m18,0.016936040724814052,1.6034661989481596,0.10883176589479757,-0.0060382709743867224,0.060351008666884365
event_m17,0.025250590074120546,0.01761489602388056,1.4334793710895744,0.15172089009227552,-0.009274606132685347,0.05977578628092644,m17,0.01592660861578142,1.585434205314755,0.11286771471766602,-0.005965562812811038,0.05646674296105213
event_m16,0.026177655490147403,0.02054565394627067,1.2741213085066596,0.20262042777150877,-0.01409182624454311,0.06644713722483792,m16,0.02229170884395894,1.1743225103732482,0.24026587018816425,-0.01751409384401212,0.06986940482430692
event_m15,0.04640010251713908,0.018526715477290394,2.504496955977719,0.01226256604558462,0.010087740181649908,0.08271246485262826,m15,0.019922430931822513,2.3290381919720065,0.01985704252513834,0.007352137890766955,0.0854480671435112
event_m14,-0.002436203231844389,0.0226942817519193,-0.10734876998864942,0.9145122951874768,-0.046916995465606216,0.04204458900191744,m14,0.020767216908111934,-0.1173100489402977,0.906614362112937,-0.04313994837174378,0.038267541908055
event_m13,0.02987028880406415,0.018062102069084242,1.653754844802435,0.09817733411818397,-0.005531431251340965,0.06527200885946927,m13,0.017439683149540277,1.7127770354504148,0.08675356649065565,-0.004311490169034794,0.0640520677771631
event_m12,0.0216916722014373,0.018045379920268962,1.202062372600576,0.22933936333128505,-0.013677272442289869,0.05706061684516447,m12,0.018214327978032418,1.1909125732005468,0.23368790809997014,-0.014008410635506237,0.057391755038380836
event_m11,-0.009013027120687855,0.01782319989724112,-0.5056907386244933,0.6130737708544312,-0.04394649891928045,0.02592044467790474,m11,0.020398863634479788,-0.4418396672574112,0.6586052318191444,-0.04899479984426824,0.030968745602892526
event_m10,0.02068698965521648,0.017339871861463293,1.193030134276363,0.2328575715160536,-0.013299159193251572,0.054673138503684535,m10,0.015462528498543925,1.337878837679396,0.1809359367171797,-0.009619566201929611,0.05099354551236257
event_m9,0.02932513525119155,0.017362630161762364,1.6889800092484923,0.09122326098871136,-0.004705619865862681,0.06335589036824578,m9,0.017166144833769013,1.708312235226137,0.08757842224021287,-0.004320508622995718,0.06297077912537882
event_m8,0.012112729132786909,0.017111759205376536,0.7078599568524243,0.479032228659104,-0.0214263189097511,0.04565177717532492,m8,0.01745537054422868,0.6939256375048295,0.4877288447056045,-0.022099797133901304,0.04632525539947512
event_m7,0.014819766899481196,0.016664204853574505,0.8893173739581296,0.37383253674379385,-0.017842074613524835,0.047481608412487226,m7,0.01660867172507131,0.8922909155408433,0.3722370222455754,-0.017733229681658573,0.047372763480620965
event_m6,0.03175733057552763,0.017200605129094427,1.8462914727232962,0.06484989523796598,-0.0019558554774974438,0.06547051662855272,m6,0.016768163484719323,1.8939063067024486,0.05823744724444994,-0.0011082698545222397,0.0646229310055775
event_m5,0.022420938075873892,0.016669187633939375,1.3450528345018828,0.1786081730588674,-0.010250669686647285,0.05509254583839507,m5,0.015085587656390564,1.4862489010413806,0.13721329722301098,-0.007146813730651614,0.051988689882399394
event_m4,0.010286970983571293,0.01725230497303368,0.596266469880425,0.5509972269150232,-0.02352754676357472,0.04410148873071731,m4,0.01749588264973127,0.5879652481396415,0.5565556190893941,-0.024004959009901995,0.04457890097704458
event_m3,0.03442480829821162,0.017044554840628817,2.019695358435164,0.043414996861934445,0.0010174808105791466,0.0678321357858441,m3,0.0173582482789091,1.9831959852791718,0.04734554217749998,0.0004026416715497902,0.06844697492487345
event_m2,-0.005737441226605106,0.018327718929222688,-0.31304720727995367,0.7542447970427383,-0.041659770327881575,0.030184887874671364,m2,0.017656032039162405,-0.3249564349384409,0.7452140436933872,-0.04034326402336342,0.028868381570153208
event_m0,0.03103195234164026,0.018353695601335613,1.6907740553015405,0.09087996417571052,-0.0049412910369775395,0.06700519572025807,m0,0.020068125335199638,1.5463304032295428,0.12202479291035284,-0.00830157331535103,0.07036547799863155
event_p1,-0.017556175689769568,0.01931267567793188,-0.9090493716430282,0.3633240652780044,-0.05540902001851605,0.020296668638976917,p1,0.016948562461258337,-1.035850428607154,0.30027192701819494,-0.050775358113835906,0.01566300673429677
event_p2,0.0312960990583729,0.0184260726714784,1.6984682312045762,0.08941942375095159,-0.0048190033777247634,0.06741120149447055,p2,0.01823638952937732,1.7161346004348867,0.08613740969737219,-0.004447224419206648,0.06703942253595244
event_p3,0.04215180569583046,0.019167880398456582,2.199085387616701,0.027871851350692835,0.004582760114855561,0.07972085127680537,p3,0.01872028059809188,2.251665271519857,0.024343432876045713,0.005460055723570376,0.07884355566809055
