variable,coef,se_hc1,t_stat,p_value_norm_approx,ci95_low,ci95_high
post,0.02576236707750991,0.00521237810561302,4.94253612372582,7.711281136603519e-07,0.01554610599050839,0.03597862816451143
article_volume,-0.002766552581538484,0.0002924392687457855,-9.460263641759479,3.0716774716443285e-21,-0.0033397335482802234,-0.0021933716147967443
vix,0.0005304034372735507,0.0003563207601668693,1.4885560892527183,0.13660430185454414,-0.00016798525265351307,0.0012287921272006144
