variable,coef,se_hc1,t_stat,p_value,ci95_low,ci95_high
post,-0.0018351114281451426,0.014238538930991463,-0.12888340840582016,0.8974499053386387,-0.029742647732888407,0.026072424876598124
sp500_return,1.5745636016699706e-06,1.2809997137984372e-05,0.12291678012956411,0.9021729977674093,-2.3533030788779397e-05,2.668215799211934e-05
vix,0.0006125689116070766,0.006540601479204403,0.09365635768433782,0.9253821393533322,-0.012207009987633553,0.013432147810847707
