variable,coef,se_hc1,t_stat,p_value_norm_approx,ci95_low,ci95_high
post,0.023171388146496146,0.0036024674631999817,6.432088112716383,1.2586273817487424e-10,0.016110551918624184,0.030232224374368108
article_volume,-0.0009001830939494343,0.00010605196646121616,-8.488132035520875,2.099849179709348e-17,-0.001108044948213418,-0.0006923212396854506
vix,0.0001670340877746717,0.0002456265749138685,0.6800326382975618,0.4964837950294197,-0.0003143939990565106,0.0006484621746058539
