ticker,week_monday,weekly_log_return,n_trading_days,week_close,week_open,flag_short_week,flag_extreme
ABNB,2015-11-30,-0.01736636880565534,4,37.9119224548,37.8750343323,False,False
ABNB,2015-12-07,-0.022389920977293087,5,37.0725097656,37.5429534912,False,False
ABNB,2015-12-14,-0.0022415768983563567,5,36.9895019531,37.1278686523,False,False
ABNB,2015-12-21,0.049620961635717276,4,38.871257782,37.6628837585,False,False
ABNB,2015-12-28,-0.0051306743283894285,4,38.6723327637,38.5391807556,False,False
ABNB,2016-01-04,-0.08014320376059114,5,35.6939506531,37.6363563538,False,False
ABNB,2016-01-11,-0.03910602857320988,5,34.3250427246,35.0927467346,False,False
ABNB,2016-01-18,0.02317280771960828,4,35.129737854,34.4082794189,False,False
ABNB,2016-01-25,-0.008726264521369487,5,34.8245201111,34.7875061035,False,False
ABNB,2016-02-01,-0.0437040295762694,5,33.3353271484,34.8615036011,False,False
ABNB,2016-02-08,0.004982044107080252,5,33.5018196106,32.1883964539,False,False
ABNB,2016-02-15,0.033128346046929824,4,34.6302680969,34.2972831726,False,False
ABNB,2016-02-22,0.00399822372434766,5,34.7690048218,35.175983429,False,False
ABNB,2016-02-29,0.045504143097291117,5,36.3876876831,34.5470199585,False,False
ABNB,2016-03-07,-0.002800596927885479,5,36.2859230042,36.4709396362,False,False
ABNB,2016-03-14,0.024176740502320104,5,37.1738891602,36.0917015076,False,False
ABNB,2016-03-21,-0.01909084141062012,4,36.4709396362,36.6744232178,False,False
ABNB,2016-03-28,0.024962284728556217,5,37.3927955627,36.5541763306,False,False
ABNB,2016-04-04,-0.01928643870640645,5,36.6785316467,37.1145133972,False,False
ABNB,2016-04-11,0.03406132302341547,5,37.9493713379,36.5579185486,False,False
ABNB,2016-04-18,0.021522023203603524,5,38.7749710083,38.3204307556,False,False
ABNB,2016-04-25,-0.02127758674632796,5,37.9586486816,38.6172523499,False,False
ABNB,2016-05-02,0.012386598811520155,5,38.4317512512,38.6914787292,False,False
ABNB,2016-05-09,0.028317816366687065,5,39.535610199,38.3389892578,False,False
ABNB,2016-05-16,0.05189159435837576,5,41.6413383484,39.8324584961,False,False
ABNB,2016-05-23,0.020505920029254998,5,42.5040473938,41.3445014954,False,False
ABNB,2016-05-30,-0.002185172046933914,4,42.4112701416,42.5689659119,False,False
ABNB,2016-06-06,-0.007905070287030469,5,42.0773277283,42.54114151,False,False
ABNB,2016-06-13,0.0,5,42.0773277283,41.6691665649,False,False
ABNB,2016-06-20,-0.027717344456717807,5,40.9270706177,42.8008766174,False,False
ABNB,2016-06-27,0.013452117951001874,5,41.4813461304,39.2016601563,False,False
ABNB,2016-07-04,0.019538543190703805,4,42.2998008728,40.6907806396,False,False
ABNB,2016-07-11,0.025829058788511272,5,43.4065971375,42.2253990173,False,False
ABNB,2016-07-18,-0.0019303641251973147,5,43.3228874207,43.5275039673,False,False
ABNB,2016-07-25,0.03231898509379416,5,44.7459106445,42.9136543274,False,False
ABNB,2016-08-01,-0.012970942534034524,5,44.1692619324,44.522693634,False,False
ABNB,2016-08-08,0.013594028833886718,5,44.7737998962,43.9274368286,False,False
ABNB,2016-08-15,-0.010860416280840113,5,44.2901687622,45.0528259277,False,False
ABNB,2016-08-22,-0.006319969257247315,5,44.011138916,44.2529716492,False,False
ABNB,2016-08-29,-0.006785059715922248,5,43.7135314941,44.2901687622,False,False
ABNB,2016-09-05,-0.04615544393815618,4,41.7417678833,43.6670188904,False,False
ABNB,2016-09-12,-0.002007065835675448,5,41.6580734253,42.5509223938,False,False
ABNB,2016-09-19,0.03982978179734609,5,43.3507919312,41.8068695068,False,False
ABNB,2016-09-26,0.012726668386053852,5,43.9060287476,43.3135871887,False,False
ABNB,2016-10-03,0.006139225377857382,5,44.1764068604,43.9526405334,False,False
ABNB,2016-10-10,-0.04976123023990864,5,42.0319328308,44.4654541016,False,False
ABNB,2016-10-17,0.010810788263054594,5,42.4887962341,42.0971908569,False,False
ABNB,2016-10-24,-0.05294586391187606,5,40.297706604,42.7498664856,False,False
ABNB,2016-10-31,0.025132485843471386,5,41.3233222961,40.6240310669,False,False
ABNB,2016-11-07,0.0452166158118632,5,43.2347106934,42.6193389893,False,False
ABNB,2016-11-14,-0.02910157062825025,5,41.994644165,42.2650413513,False,False
ABNB,2016-11-21,-0.003336214416304273,4,41.8547744751,41.9293746948,False,False
ABNB,2016-11-28,-0.01934378525017655,5,41.0529251099,40.6519889832,False,False
ABNB,2016-12-05,0.05027068687417868,5,43.1694374084,41.5191192627,False,False
ABNB,2016-12-12,-0.008458781078265254,5,42.8058166504,43.0202636719,False,False
ABNB,2016-12-19,0.006296699555424112,5,43.0762023926,42.3582572937,False,False
ABNB,2016-12-26,-0.011058364259199482,4,42.6024742126,43.3652420044,False,False
ABNB,2017-01-02,0.051962734606991745,4,44.8747406006,43.4720954895,False,False
ABNB,2017-01-09,0.014480772238062656,5,45.5292892456,45.0149993896,False,False
ABNB,2017-01-16,-0.022220674056567358,4,44.528755188,45.1833000183,False,False
ABNB,2017-01-23,0.021399154370030704,5,45.4919013977,44.3136787415,False,False
ABNB,2017-01-30,0.014893285611137674,5,46.174495697,44.5754928589,False,False
ABNB,2017-02-06,0.019651856860242845,5,47.0908851624,46.0716438293,False,False
ABNB,2017-02-13,0.024905909263548853,5,48.2784538269,47.2404937744,False,False
ABNB,2017-02-20,0.002127807154557626,4,48.3812904358,48.0166282654,False,False
ABNB,2017-02-27,0.004628209372783854,5,48.6057281494,48.3064956665,False,False
ABNB,2017-03-06,0.003265028227473099,5,48.7646865845,47.9231071472,False,False
ABNB,2017-03-13,0.02199973009190659,5,49.8493843079,49.0452270508,False,False
ABNB,2017-03-20,-0.004323398925212718,5,49.6343307495,49.6997680664,False,False
ABNB,2017-03-27,-0.001485807918856441,5,49.5606384277,49.7839241028,False,False
ABNB,2017-04-03,-0.0005674320777471209,5,49.5325241089,49.8699951172,False,False
ABNB,2017-04-10,-0.009698658474993849,4,49.0544471741,49.4200248718,False,False
ABNB,2017-04-17,0.01780325643398406,5,49.9355964661,50.1137084961,False,False
ABNB,2017-04-24,0.03286863443678367,5,51.604183197,51.0323638916,False,False
ABNB,2017-05-01,0.028473651563895253,5,53.0946617126,52.3072319031,False,False
ABNB,2017-05-08,-0.008510693965087412,5,52.6447067261,52.7946891785,False,False
ABNB,2017-05-15,-0.000534399004359809,5,52.6165809631,53.1508979797,False,False
ABNB,2017-05-22,0.05847405771519476,5,55.7850189209,52.5697212219,False,False
ABNB,2017-05-29,0.02160968964166532,4,57.0036354065,56.5911865234,False,False
ABNB,2017-06-05,-0.026663636830212667,5,55.5037956238,56.6193084717,False,False
ABNB,2017-06-12,0.0050539471885473475,5,55.7850189209,55.2975692749,False,False
ABNB,2017-06-19,0.004359348802621454,5,56.0287361145,56.7599182129,False,False
ABNB,2017-06-26,-0.005500887223012896,5,55.7213745117,55.5319137573,False,False
ABNB,2017-07-03,0.005380710582486792,4,56.0220031738,55.5522537231,False,False
ABNB,2017-07-10,0.031203447363052916,5,57.7976417542,56.2380828857,False,False
ABNB,2017-07-17,-0.0024412492446703737,5,57.6567153931,57.8258247375,False,False
ABNB,2017-07-24,-0.02124407315534338,5,56.444770813,57.7788543701,False,False
ABNB,2017-07-31,0.0008320039041427307,5,56.4917526245,56.1723213196,False,False
ABNB,2017-08-07,-0.01339372971866215,5,55.7401618958,57.186958313,False,False
ABNB,2017-08-14,0.03184852600918475,5,57.5439758301,56.0125999451,False,False
ABNB,2017-08-21,0.0265824268400614,5,59.0941467285,58.0043258667,False,False
ABNB,2017-08-28,0.023256845840130325,5,60.4845962524,59.6202507019,False,False
ABNB,2017-09-04,0.009891897366355096,4,61.0858726501,60.4000358582,False,False
ABNB,2017-09-11,0.014353665979239594,5,61.96900177,62.1099128723,False,False
ABNB,2017-09-18,-0.002732911698258178,5,61.7998771667,62.0817260742,False,False
ABNB,2017-09-25,-0.024312728114818327,5,60.3154716492,60.8134231567,False,False
ABNB,2017-10-02,0.03514965468119602,5,62.4732398987,61.0705108643,False,False
ABNB,2017-10-09,0.009449027972661561,5,63.0663490295,62.6615219116,False,False
ABNB,2017-10-16,0.0038736391831299954,5,63.3111190796,62.9910202026,False,False
ABNB,2017-10-23,0.010649303973479185,5,63.9889411926,63.0945777893,False,False
ABNB,2017-10-30,0.005867759589634147,5,64.3655166626,63.5370521545,False,False
ABNB,2017-11-06,-0.02308175992645989,5,62.89686203,64.2242889404,False,False
ABNB,2017-11-13,0.02920590689604108,5,64.7609100342,63.1981430054,False,False
ABNB,2017-11-20,0.008251812615267085,4,65.2975158691,65.8623809814,False,False
ABNB,2017-11-27,-0.00970639296536202,5,64.6667785645,65.2504730225,False,False
ABNB,2017-12-04,-0.019255813894262452,5,63.4334793091,62.3602905273,False,False
ABNB,2017-12-11,0.0034078617605448613,5,63.6500205994,63.0757637024,False,False
ABNB,2017-12-18,-0.003853034553538137,5,63.4052467346,63.6971168518,False,False
ABNB,2017-12-25,-0.0034462751728598917,4,63.1871109009,63.3111190796,False,False
ABNB,2018-01-01,0.0428207874337625,4,65.9515991211,63.7815170288,False,False
ABNB,2018-01-08,0.025843214887924404,5,67.6782150269,66.0931015015,False,False
ABNB,2018-01-15,0.0185086641019776,4,68.9425125122,67.2064666748,False,False
ABNB,2018-01-22,0.02366763565915697,5,70.5936813354,69.3293533325,False,False
ABNB,2018-01-29,-0.04889058146131031,5,67.2253265381,70.3200531006,False,False
ABNB,2018-02-05,-0.061800855717039305,5,63.1965179443,64.3664932251,False,False
ABNB,2018-02-12,0.07185561653065875,5,67.9046707153,64.5646286011,False,False
ABNB,2018-02-19,-0.017804064205704684,4,66.7063903809,67.0649490356,False,False
ABNB,2018-02-26,-0.046169540862702974,5,63.6966018677,66.5931777954,False,False
ABNB,2018-03-05,0.052233461891479926,5,67.112121582,63.7343292236,False,False
ABNB,2018-03-12,-0.01744355082444038,5,65.9515991211,66.7158355713,False,False
ABNB,2018-03-19,-0.05650272709827764,5,62.3284759521,65.423210144,False,False
ABNB,2018-03-26,0.012635880028895485,4,63.1210479736,64.3476028442,False,False
ABNB,2018-04-02,-0.04756981528474036,5,60.1886901855,60.9262657166,False,False
ABNB,2018-04-09,0.0544226540827184,5,63.5550918579,61.6449356079,False,False
ABNB,2018-04-16,0.005045953356314747,5,63.8765983582,64.4628677368,False,False
ABNB,2018-04-23,-0.018979910015689327,5,62.6756591797,64.3683166504,False,False
ABNB,2018-04-30,0.010804384646056597,5,63.356502533,62.1650161743,False,False
ABNB,2018-05-07,0.03591458145596693,5,65.6732788086,63.725315094,False,False
ABNB,2018-05-14,-0.07673663367846917,5,60.8222389221,65.4463424683,False,False
ABNB,2018-05-21,-0.018357745116186486,5,59.7158660889,61.9853630066,False,False
ABNB,2018-05-28,-0.0058761220409682124,4,59.3659973145,58.486579895,False,False
ABNB,2018-06-04,0.04591870222439276,5,62.1555633545,59.9333534241,False,False
ABNB,2018-06-11,0.006066792154486578,5,62.5337944031,62.5337944031,False,False
ABNB,2018-06-18,-0.051826341772497564,5,59.3754463196,61.4369049072,False,False
ABNB,2018-06-25,-0.015245287376711048,5,58.4771156311,57.8719177246,False,False
ABNB,2018-07-02,0.00966285617723539,4,59.0449104309,58.2676239014,False,False
ABNB,2018-07-09,0.017347260004322962,5,60.0781135559,59.8316688538,False,False
ABNB,2018-07-16,0.007388103979797833,5,60.5236206055,59.452495575,False,False
ABNB,2018-07-23,0.0293232373543022,5,62.3246459961,60.4004020691,False,False
ABNB,2018-07-30,-0.0003042444820282597,5,62.3056869507,61.2629966736,False,False
ABNB,2018-08-06,0.00803088155269105,5,62.8080711365,63.0450553894,False,False
ABNB,2018-08-13,-0.024443409811006234,5,61.2914390564,62.5047569275,False,False
ABNB,2018-08-20,0.020208764365573728,5,62.5426635742,61.1113433838,False,False
ABNB,2018-08-27,0.023368587641368066,5,64.0214080811,62.637462616,False,False
ABNB,2018-09-03,-0.0020749843092602305,4,63.8887023926,63.7654762268,False,False
ABNB,2018-09-10,0.021284827411458984,5,65.2631378174,64.3910903931,False,False
ABNB,2018-09-17,0.026798479789484908,5,67.035736084,65.4811706543,False,False
ABNB,2018-09-24,-0.0025483965869996794,5,66.8651199341,66.3058166504,False,False
ABNB,2018-10-01,-0.0012937178866607724,5,66.7786712646,67.690574646,False,False
ABNB,2018-10-08,-0.05948731333391866,5,62.9220352173,66.0187301636,False,False
ABNB,2018-10-15,-0.027084613273647307,5,61.240688324,62.3425865173,False,False
ABNB,2018-10-22,-0.027360138707846815,5,59.5878486633,61.0602149963,False,False
ABNB,2018-10-29,0.049753637796299266,5,62.6275520325,58.9704017639,False,False
ABNB,2018-11-05,0.020121000605463735,5,63.9004440308,62.6085739136,False,False
ABNB,2018-11-12,-0.03448113950014875,5,61.7346382141,61.2691879272,False,False
ABNB,2018-11-19,0.048357925077795016,4,64.7933578491,59.4738578796,False,False
ABNB,2018-11-26,0.05892401467261443,5,68.7259674072,65.78125,False,False
ABNB,2018-12-03,-0.029454826207899742,4,66.7311782837,70.9297637939,False,False
ABNB,2018-12-10,-0.012750221413375229,5,65.8857421875,67.0541305542,False,False
ABNB,2018-12-17,-0.09158300554166665,5,60.1197891235,64.451385498,False,False
ABNB,2018-12-24,0.04379141613641746,4,62.8110160828,59.5308532715,False,False
ABNB,2018-12-31,-0.007609380608371907,4,62.3348770142,64.2393875122,False,False
ABNB,2019-01-07,0.07246993940760849,5,67.0199966431,63.6585426331,False,False
ABNB,2019-01-14,0.02178401510684136,5,68.4959793091,66.4200668335,False,False
ABNB,2019-01-21,0.023630839502319034,4,70.1338729858,67.9151077271,False,False
ABNB,2019-01-28,0.03193541422587032,5,72.4097747803,69.7719955444,False,False
ABNB,2019-02-04,-0.003161174430696967,5,72.1812362671,72.4002685547,False,False
ABNB,2019-02-11,0.03244938742749959,5,74.5618896484,72.4478607178,False,False
