ticker,trace_stat_r0,cv_r0_95,trace_stat_r1,cv_r1_95,cointegrated_95
BA,367.2277725168419,15.4943,159.75252383144962,3.8415,True
WFC,317.52794384483263,15.4943,102.10693608951351,3.8415,True
