sample,n_obs,f_stat_ret2bias,p_val_ret2bias,f_stat_bias2ret,p_val_bias2ret
Full,7493,0.19649669079418472,0.8988304221256724,0.678337400066998,0.5652006349027697
Pre-break,4415,0.25024820273259807,0.8612032180399869,1.218837787225562,0.3011580331551688
Post-break,3018,0.13800129429827482,0.9373262569166628,0.1872008627105308,0.9051542677260148
