ticker,chosen_lag,is_stable,min_root_modulus,portmanteau_p,jb_normality_p,arch_bias_p,arch_return_p
ABNB,3,True,1.561041692007329,0.055295519301506814,1.0137564850179853e-11,0.02642415693431013,0.030132673880914243
AMZN,2,True,1.9866310311198239,0.0005711147538502663,6.883155481572435e-27,0.1811396466148381,1.1398633554814907e-12
T,4,True,1.397154862935811,0.09852132314228879,1.89741041830827e-234,0.3269511797501924,0.8143457434662076
BA,4,True,1.3719979914369085,0.32841905848303476,2.8089618152761283e-77,0.0784308909408523,2.156128967532664e-13
BAC,1,True,2.0213596833991945,0.016275135182646543,2.7256431368283254e-05,0.0639889509421578,0.2923588068257371
GM,3,True,1.5547169837354724,0.013672523314924218,1.5071332967012588e-20,2.2985395133753497e-05,0.0003189951074794857
GS,5,True,1.276218376390092,0.040970886577355786,1.1497231593452816e-36,0.5782816910249851,0.0006932711760723776
INTC,2,True,1.7989857936730063,0.0008383639260461984,2.7482391770974387e-58,0.1713457421836618,9.703592925657463e-11
MCD,3,True,1.5571350618018456,0.0002557197655078783,2.232521153412013e-40,0.00015381292166574364,3.319771593909634e-15
MSFT,3,True,1.6501346141699478,0.011544996121375432,1.9487255587514717e-40,0.05823719020499953,0.21545494953010277
MS,3,True,1.5259654385021206,0.00012559087580603685,2.514187870807818e-105,0.6323857399682399,6.1473169696407714e-24
SBUX,2,True,1.756612869078152,0.0035258151698557088,2.049472981659966e-19,0.037826611806005266,8.842486580352595e-09
UBER,3,True,1.5253446062698428,0.021956169614611536,1.0203478552181087e-57,4.937231534316004e-07,3.887949508182764e-15
V,3,True,1.6465261081450657,0.0004748327999619331,1.7579594070987487e-17,0.00024229243348245795,8.058724959555991e-12
WFC,5,True,1.2833751347635654,0.43432613441561174,3.0720033367084315e-69,0.03396291043488353,2.3611559626727844e-05
